id,question,answer
10,外网认证总是提示帐号或密码错误是怎么回事，密码肯定是对的,你可能被跳转到了深澜软件(这是我校认证系统提供商)的认证界面，这并不是真正的校园网认证页面，请直接在地址栏输入10.6.8.2，在弹出的页面进行认证即可。
11,为什么寝室网络又限速？,这个我们也不知道什么情况，现在好像又被限制到 5M 带宽啦，我们也不知道什么什么时候会解除，不过我们会第一时间通知的～
12,E2901:(third party -1) authentication failed. but no error message is returned.(),"密码输入错误，请登录  <a href=""http://auth.xjtu.edu.cn"">http://auth.xjtu.edu.cn 验证密码是否正确</a>  ，如果可以正常登陆，则说明密码正确，不能登录则表示密码有误。<br>
<br>
更新:<br>
如账户发生欠费，则也有可能出现此问题，学校一般在每月20号左右关闭欠费账户访问网络的权限，若在此期间出现上述问题，请登录auth.xjtu.edu.cn 查询是否欠费。"
13,遇到PPPoE拨号错误代码619怎么办呢,"以下是网络中心的官方答复：<br>
Error 619：无法连接到指定的服务器，用于此连接的端口已关闭。<br>
问题原因：由于上次的连接出错，且重拨间隔时间过短，造成服务器对您的用户名和密码来不及响应。<br>
解决方法：建议您间隔十到十五分钟后重试。"
14,遇到PPPoE拨号错误代码678怎么办呢,"以下为网络中心官方回复<br>
Error 678：无法连接到远程计算机，远程计算机无响应。<br>
问题原因：不能连接到BRAS（PPPOE接入服务器），可能是从用户端一直到BRAS服务器整个链路中的某一个环节连接不通。<br>
解决方法：<br>  
1）检查MODEM是否与局端设备同步上、网卡是否工作正常；<br>
2）网络线路（网线）是否正常连接。"
15,我无法访问IPv6网站,"首先，如果你使用了路由器，需查明你的路由器是否支持IPv6，若不支持则无法使用IPv6，目前国内市场上大部分廉价路由器是不支持IPv6的。<br>
从宽带拨号获取到的IPV6地址是/128，无法再进行子网划分，故路由器需要支持**NAT6**等功能，才能使连接路由器的设备正常访问IPV6网站。<br>
注意，如果把主线插到路由器的LAN口上是将路由器降为无线交换机使用，无需关心设备是否支持IPv6，电脑连接上路由器后拨号即可，故不在此讨论范围之列；<br>
其次，网络中心通知中提到，目前**Windows XP**和**Mac OS**系统是无法使用IPV6的。"
16,拨号成功但是无法自动跳转登入页面,"一般这个跟浏览器有关，在浏览器地址栏输入<code>10.6.8.2</code> 并转到，若能够显示登入界面，建议将次页面存为书签或者收藏，方便下次打开。
若无法连接到登入页面，存在以下几种可能：

<b>1、DNS配置不正确；<b/>
<b>2、使用VPN虚拟专用网、socks5等网络/代理软件未正常退出；<b/>
<b>3、未能获取到正确的IP地址。<b/>

<b>注：上述问题均为个人电脑问题，并不在我们社团的负责范围内。如果你报修为此问题，我们会帮助你但是并不能保证解决问题。<b/>"
17,使用 Wi-Fi 时频繁掉线，游戏跳 Ping 是为什么？ ,如连接 Wi-Fi 时遇到“暂时无法加入这个网络”的问题，或在使用 Wi-Fi 浏览网络信息时遇到设备频繁掉线（断开 Wi-Fi ）、游戏跳 Ping 等问题。可能是因为您与 AP 的距离过远或信道干扰而导致的信号不良，请尝试移动您的设备至靠近无线 AP 的位置再试。如您所在的位置有条件使用有线网络，建议优先使用有线网络。
18,我的宿舍/工位有线网不能使用？,"关于教研室的有线网是否开通的问题，请咨询您所在的学院。如您位于宿舍或者您已确认所在学院的教研室已开通有线网络，则观察桌面右下角网络状态是否为“小地球”标志，电脑有线网口旁的指示灯是否闪烁。

若为“小地球”标志且指示灯未闪烁，请首先确认您的设备是否可以正常工作。如果您的设备没有问题，请移步移动交通大学APP中“创新港报修（交大报修）”一栏报修。

如果指示灯闪烁，则您的设备以及网口应当是正常的，这时请测试附近的其它有线网口是否可以正常联网。若附近其他用户的设备可正常联网，请进一步参考“软件故障”中的解决方案；否则请移步移动交通大学APP中“创新港报修（交大报修）”一栏报修。"
19,XJTU_STU 信号很低或者根本搜不到？,"考虑以下两种使用场景：

1) 在宿舍接入Wi-Fi
如发现XJTU_STU信号过低或无法搜索到，请检查客厅的无线AP（如下图所示）的黄色指示灯是否以低频率闪烁（约每1-2秒一次）。
若不闪烁、高频闪烁或其它情况，则原因可能是您宿舍的无线AP出现故障，请移步移动交通大学APP报修或者加入“创新港信息化服务咨询”群（607221453）以获取详细信息。
您还可以关注设备中的Wi-Fi接入点列表，如仅显示类似hw_manage_xxxx的接入点，则原因同样可能是您宿舍的无线AP出现故障。

2) 在教研室/户外接入Wi-Fi
可能是您正位于Wi-Fi信号不良的位置，请尝试移动您的设备至靠近无线AP的位置再试。"
20,常用的内、外网测速地址是什么？,"内网测速：https://speed.xjtu.edu.cn/
外网测速：https://www.speedtest.net/"
21,西交镜像站？,西交镜像站：https://mirrors.xjtu.edu.cn/
22,如何使用西安交大 VPN 服务？,"西安交大 VPN 服务共有以下两种连接方式：
WebVPN (推荐使用，全终端可用): https://webvpn.xjtu.edu.cn/
SSLVPN (仅 Windows 与 macOS 可用): https://sslvpn.xjtu.edu.cn/

认证方式均为统一身份认证。"
23,如何在学生区使用 PPPoE 拨号上网？,"在宽带账号和宽带密码中对应输入校园网帐号密码，密码在nethelp.xjtu.edu.cn可查

如果使用教育网，账号为你的上网账号
如果使用运营商网络，账号为你的上网账号@运营商小写首字母：

移动套餐为你的上网账号@yd
联通套餐为你的上网账号@lt
电信套餐为你的上网账号@dx

密码均为校园网上网密码（默认六位数字）

套餐拨号成功后即可上网，无需再进行外网Portal认证，教育网需要在弹出网页(10.6.8.2)再登录一次"
24,如何在图书馆区域使用 xjtulib 无线网络？,"图书馆无线缴纳100元开户费用即可使用，不计流量，连接xjtu_lib，账号为上网账号@xjtulib，密码为上网密码。上网账号和密码在nethelp.xjtu.edu.cn 查看和修改。

覆盖区域：只覆盖图书馆
申请流程：缴纳100元入网费后即可免费使用

使用方法：连接xjtulib无线后，在弹出的网页（10.6.18.5）中登录，账号为你的上网账号@xjtulib，密码为校园网密码
"
25,如何在使用 XJTU_STU 无线网络？,"
【兴庆、雁塔校区（创新港除外）】
教学区的 XJTU_STU 为运营商套餐所附赠，不计流量，教学区连接XJTU_STU，在弹出的网页（10.6.18.2）中登录，账号为上网账号@stu，密码为上网密码。

学生区的 STU 在办理入网后可以使用，其中校园网计入流量，其余按照运营商套餐进行计费，使用上网账号密码登录，通过下方的下拉选项选择使用的网络。

上网账号和密码在nethelp.xjtu.edu.cn 查看和修改。

覆盖区域：教学区（包括：教室，图书馆，办公楼，学校主干道，食堂等公共区域）+学生宿舍（目前还在建设中）
申请流程：100元入网费+办理运营商网络套餐

【创新港校区】
办理入网后，连接名为 XJTU_STU 无线网络（在宿舍建议连接名称与房间号相一致的无线网路，如 A01-020304 连接名为 304 的无线网络），认证方式为在弹出网页（http://p.xjtu.edu.cn）中输入上网账号密码（可在 http://nethelp.xjtu.edu.cn 中查询）登录"
26,如何在校内使用 xjtu1x、 XJTU_WLAN 等无线网络？,"
覆盖区域：教学区
申请流程：仅供交大教职员工使用"
27,有哪些可能会用到的网址？,"
1.校园网络自自助平台，申请入网，校园网密码查询，历史认证状态查询，网络套餐查询
http://nethelp.xjtu.edu.cn

2.西交网络管理协会，网络报修，加入我们
http://ana.xjtu.edu.cn

3.教育网流量计费系统，查流量，缴费，改密码
上网账号与密码登录，账号密码在nethelp自查
上网账号和统一身份认证网关的账号不是一回事
http://auth.xjtu.edu.cn

4.移动交大网页版/APP下载地址
http://m.xjtu.edu.cn

5.取消套餐，微信搜索公众号WeNet服务中心，找人工客服"
28,不办套餐，宿舍能用多少网？,"拨号账号和网页验证账号无关

即如果宿舍四个人都交了100元入网费，你们可以拨号用A，网页验证轮流登录A,B,C,D,每月可在宿舍用的流量为15G x 4，用B在10.6.8.2上登陆的账号记入B的教育网流量中

15G以内免费，15~40GB,1元/GB ; 40~50GB,2元/GB

http://auth.xjtu.edu.cn"
29,无响应数据？,"请检查上网账号@stu和密码是否正确填写，检查是否有在有效期内的套餐，刚刚开通套餐需要等待最多一天才可连接stu，回复stu查看关于stu无线的说明。

如确认账号密码正确无误，套餐在有效期内，请提供账号网管会帮忙查询无法登录的原因。
上网账号和密码在nethelp.xjtu.edu.cn 查看和修改。"
30,上网账号欠费？,"套餐只会过期，不会欠费；欠费是使用宿舍有线教育网才会出现的情况。

如已购买套餐，请检查拨号账号是否按照套餐说明设置，套餐说明在购买套餐的界面可以查看，回复套餐说明查看关于套餐说明的总结。"
31,套餐说明？,"
【兴庆、雁塔校区（创新港除外）】
购买的是移动的套餐，拨号账号为上网账号@yd，密码为上网密码；
购买的是电信的套餐，拨号账号为上网账号@dx，密码为上网密码;
购买的是联通的套餐，拨号账号为上网账号@lt，密码为上网密码；

未购买运营商套餐，拨号账号为上网账号，密码为上网密码；
未购买运营商套餐，拨号成功后需要网页认证（10.6.8.2）才可上网，认证网页上登陆的账号将会被记录流量。

购买运营商套餐后，拨号成功即可上网。

上网账号和密码在nethelp.xjtu.edu.cn 查看和修改，务必在自己设备设置上网账号时填写对应的账号，否则会导致欠费。

【创新港校区】
目前无需办理套餐，宿舍有线使用 DHCP 方式连接，需要在弹出的 Potal 页面进行认证"
32,【创新港｜临时】出现丢包等问题，如何更换有线网络出口？,填写个人基本信息以及当前有线网络的 IP 地址（形如10.18x.x.x）到如下表格 https://docs.qq.com/sheet/DT3l3YmNBSnlkbEd4
33,MATLAB 常见安装问题？,"西安交通大学 MATLAB 校园安装指南 http://nic.xjtu.edu.cn/info/1048/2731.htm

MATLAB 常见安装问题，你可参考文档群文件：MATLAB 安装常见问题及解决方案.docx

如果你所遇到的问题不在该常见问题清单中，请按如下方式联系 MathWorks 官方售后支持人员:

安装支持：info@mathworks.cn 
技术支持：support@mathworks.cn 

电话支持：010-59827000 转4
工作时间：星期一 ~ 星期五（节假日除外）09:00 ~ 18:00"
34,如何激活/重新激活 MATLAB？,MATLAB 许可证更新指南 http://weibo.ws/gsIUQh
35,【创新港】如何下线 XJTU_STU 登录设备？,登录 https://self.xjtu.edu.cn/user/login 选择相应设备下线，或使用群文件【测试工具/xjtuprotal.zip】并参考其中的帮助文档使用
